證券代碼,公司中文全稱,年,月,報酬率％_月
0055 元大MSCI金融,,2010,12,17.541
0056 元大高股息,,2010,12,4.0001
0057 富邦摩台,,2010,12,6.2305
0061 元大寶滬深,,2010,12,0.6722
0050 元大台灣50,,2011,1,2.6058
0051 元大中型100,,2011,1,0.7779
0052 富邦科技,,2011,1,4.0261
0053 元大電子,,2011,1,2.8593
0055 元大MSCI金融,,2011,1,3.0682
0056 元大高股息,,2011,1,1.1144
0057 富邦摩台,,2011,1,2.434
0061 元大寶滬深,,2011,1,-6.5229
0050 元大台灣50,,2011,2,-5.5555
0051 元大中型100,,2011,2,-5.7426
0052 富邦科技,,2011,2,-7.974
0053 元大電子,,2011,2,-4.9179
0055 元大MSCI金融,,2011,2,-10.1489
0056 元大高股息,,2011,2,-3.6614
0057 富邦摩台,,2011,2,-6.6418
0061 元大寶滬深,,2011,2,1.7583
0050 元大台灣50,,2011,3,0.0842
0051 元大中型100,,2011,3,-1.048
0052 富邦科技,,2011,3,-0.5365
0053 元大電子,,2011,3,-3.298
0055 元大MSCI金融,,2011,3,3.1626
0056 元大高股息,,2011,3,-2.9521
0057 富邦摩台,,2011,3,0.6748
0061 元大寶滬深,,2011,3,1.1879
0050 元大台灣50,,2011,4,4.1141
0051 元大中型100,,2011,4,4.1047
0052 富邦科技,,2011,4,2.3272
0053 元大電子,,2011,4,2.713
0055 元大MSCI金融,,2011,4,3.2844
0056 元大高股息,,2011,4,2.6615
0057 富邦摩台,,2011,4,3.7464
0061 元大寶滬深,,2011,4,-2.1343
0050 元大台灣50,,2011,5,-0.0001
0051 元大中型100,,2011,5,1.5897
0052 富邦科技,,2011,5,2.3297
0053 元大電子,,2011,5,1.4339
0055 元大MSCI金融,,2011,5,-0.5655
0056 元大高股息,,2011,5,2.6297
0057 富邦摩台,,2011,5,0.8512
0061 元大寶滬深,,2011,5,-0.7634
006203 元大MSCI台灣,,2011,5,0.1666
0050 元大台灣50,,2011,6,-5.0807
0051 元大中型100,,2011,6,-3.5992
0052 富邦科技,,2011,6,-7.832
0053 元大電子,,2011,6,-5.4687
0055 元大MSCI金融,,2011,6,-1.5636
0056 元大高股息,,2011,6,0.3247
0057 富邦摩台,,2011,6,-4.5123
0061 元大寶滬深,,2011,6,-2.1979
006203 元大MSCI台灣,,2011,6,-4.3218
0050 元大台灣50,,2011,7,1.7844
0051 元大中型100,,2011,7,4.1234
0052 富邦科技,,2011,7,-2.9695
0053 元大電子,,2011,7,-1.4955
0055 元大MSCI金融,,2011,7,4.5489
0056 元大高股息,,2011,7,1.4388
0057 富邦摩台,,2011,7,1.7377
0061 元大寶滬深,,2011,7,-2.8089
006203 元大MSCI台灣,,2011,7,1.2853
0050 元大台灣50,,2011,8,-8.9315
0051 元大中型100,,2011,8,-11.8179
0052 富邦科技,,2011,8,-7.5453
0053 元大電子,,2011,8,-9.0291
0055 元大MSCI金融,,2011,8,-9.8066
0056 元大高股息,,2011,8,-9.8227
0057 富邦摩台,,2011,8,-9.4397
0061 元大寶滬深,,2011,8,-7.5143
006203 元大MSCI台灣,,2011,8,-9.0909
0050 元大台灣50,,2011,9,-5.3164
0051 元大中型100,,2011,9,-8.5576
0052 富邦科技,,2011,9,-0.3608
0053 元大電子,,2011,9,-3.3816
0055 元大MSCI金融,,2011,9,-12.2511
0056 元大高股息,,2011,9,-5.6233
0057 富邦摩台,,2011,9,-5.4932
0061 元大寶滬深,,2011,9,-8.5001
006203 元大MSCI台灣,,2011,9,-6.4905
006204 永豐臺灣加權,,2011,9,0.8408
006205 富邦上証,,2011,9,-2.2005
0050 元大台灣50,,2011,10,4.844
0051 元大中型100,,2011,10,5.762
0052 富邦科技,,2011,10,4.4078
0053 元大電子,,2011,10,3.3635
0055 元大MSCI金融,,2011,10,6.8934
0056 元大高股息,,2011,10,4.9085
0057 富邦摩台,,2011,10,4.4818
0061 元大寶滬深,,2011,10,4.2352
006203 元大MSCI台灣,,2011,10,5.7709
006204 永豐臺灣加權,,2011,10,5.1414
006205 富邦上証,,2011,10,1.9
0050 元大台灣50,,2011,11,-7.8926
0051 元大中型100,,2011,11,-11.5749
0052 富邦科技,,2011,11,-7.5615
0053 元大電子,,2011,11,-6.9306
0055 元大MSCI金融,,2011,11,-14.2662
0056 元大高股息,,2011,11,-6.3969
0057 富邦摩台,,2011,11,-8.1101
0061 元大寶滬深,,2011,11,-3.6698
006203 元大MSCI台灣,,2011,11,-8.8265
006204 永豐臺灣加權,,2011,11,-9.1199
006205 富邦上証,,2011,11,-4.1708
0050 元大台灣50,,2011,12,3.5981
0051 元大中型100,,2011,12,1.8472
0052 富邦科技,,2011,12,2.3859
0053 元大電子,,2011,12,2.1329
0055 元大MSCI金融,,2011,12,3.5294
0056 元大高股息,,2011,12,2.9288
0057 富邦摩台,,2011,12,2.6258
0061 元大寶滬深,,2011,12,-2.2448
006203 元大MSCI台灣,,2011,12,2.5972
006204 永豐臺灣加權,,2011,12,2.9086
006205 富邦上証,,2011,12,-4.5571
0050 元大台灣50,,2012,1,4.2963
0051 元大中型100,,2012,1,9.1945
0052 富邦科技,,2012,1,5.9588
0053 元大電子,,2012,1,6.848
0055 元大MSCI金融,,2012,1,4.2615
0056 元大高股息,,2012,1,7.4074
0057 富邦摩台,,2012,1,5.9345
0061 元大寶滬深,,2012,1,4.4538
006203 元大MSCI台灣,,2012,1,5.6959
006204 永豐臺灣加權,,2012,1,5.3704
006205 富邦上証,,2012,1,5.633
0050 元大台灣50,,2012,2,7.7961
0051 元大中型100,,2012,2,8.4202
0052 富邦科技,,2012,2,7.5714
0053 元大電子,,2012,2,8.4093
0055 元大MSCI金融,,2012,2,7.6297
0056 元大高股息,,2012,2,7.6116
0057 富邦摩台,,2012,2,7.179
0061 元大寶滬深,,2012,2,8.2613
006203 元大MSCI台灣,,2012,2,6.5867
006204 永豐臺灣加權,,2012,2,8.3155
006205 富邦上証,,2012,2,6.5008
0050 元大台灣50,,2012,3,-1.9645
0051 元大中型100,,2012,3,-3.8119
0052 富邦科技,,2012,3,-1.7231
0053 元大電子,,2012,3,-1.5513
0055 元大MSCI金融,,2012,3,-6.0759
0056 元大高股息,,2012,3,-4.1423
0057 富邦摩台,,2012,3,-2.3473
0061 元大寶滬深,,2012,3,-9.8463
006203 元大MSCI台灣,,2012,3,-0.4496
006204 永豐臺灣加權,,2012,3,-3.244
006205 富邦上証,,2012,3,-8.2021
0050 元大台灣50,,2012,4,-5.1915
0051 元大中型100,,2012,4,-5.9261
0052 富邦科技,,2012,4,-3.1798
0053 元大電子,,2012,4,-4.8549
0055 元大MSCI金融,,2012,4,-3.9534
0056 元大高股息,,2012,4,-2.8131
0057 富邦摩台,,2012,4,-4.9679
0061 元大寶滬深,,2012,4,2.1159
006203 元大MSCI台灣,,2012,4,-5.5679
006204 永豐臺灣加權,,2012,4,-5.2982
006205 富邦上証,,2012,4,5.6105
0050 元大台灣50,,2012,5,-3.6503
0051 元大中型100,,2012,5,-1.5749
0052 富邦科技,,2012,5,-4.6952
0053 元大電子,,2012,5,-3.9838
0055 元大MSCI金融,,2012,5,-4.9579
0056 元大高股息,,2012,5,-2.7265
0057 富邦摩台,,2012,5,-3.9463
0061 元大寶滬深,,2012,5,-2.3395
006203 元大MSCI台灣,,2012,5,-4.4221
006204 永豐臺灣加權,,2012,5,-3.0272
006205 富邦上証,,2012,5,-0.1968
006206 元大上證50,,2012,5,-3.0001
0050 元大台灣50,,2012,6,0.0996
0051 元大中型100,,2012,6,-0.2001
0052 富邦科技,,2012,6,-0.5554
0053 元大電子,,2012,6,0.5129
0055 元大MSCI金融,,2012,6,2.1653
0056 元大高股息,,2012,6,0.9055
0057 富邦摩台,,2012,6,0.7726
0061 元大寶滬深,,2012,6,-4.1754
006203 元大MSCI台灣,,2012,6,0.709
006204 永豐臺灣加權,,2012,6,-0.4739
006205 富邦上証,,2012,6,-4.8793
006206 元大上證50,,2012,6,-3.8658
006207 復華滬深,,2012,6,-5.5999
0050 元大台灣50,,2012,7,1.7928
0051 元大中型100,,2012,7,2.004
0052 富邦科技,,2012,7,-2.9669
0053 元大電子,,2012,7,-2.0871
0055 元大MSCI金融,,2012,7,5.7806
0056 元大高股息,,2012,7,2.7776
0057 富邦摩台,,2012,7,1.3937
0061 元大寶滬深,,2012,7,-5.1428
006203 元大MSCI台灣,,2012,7,0.2897
006204 永豐臺灣加權,,2012,7,3.6684
006205 富邦上証,,2012,7,-2.539
006206 元大上證50,,2012,7,-2.1983
006207 復華滬深,,2012,7,-3.9547
006208 富邦台50,,2012,7,-0.2333
0050 元大台灣50,,2012,8,3.2293
0051 元大中型100,,2012,8,1.1789
0052 富邦科技,,2012,8,4.4965
0053 元大電子,,2012,8,5.4002
0055 元大MSCI金融,,2012,8,0.6375
0056 元大高股息,,2012,8,2.7445
0057 富邦摩台,,2012,8,2.9554
0061 元大寶滬深,,2012,8,-5.3463
006203 元大MSCI台灣,,2012,8,4.0034
006204 永豐臺灣加權,,2012,8,2.9173
006205 富邦上証,,2012,8,-4.7847
006206 元大上證50,,2012,8,-4.8795
006207 復華滬深,,2012,8,-4.3383
006208 富邦台50,,2012,8,3.1073
0050 元大台灣50,,2012,9,4.5498
0051 元大中型100,,2012,9,4.3107
0052 富邦科技,,2012,9,7.5731
0053 元大電子,,2012,9,4.9888
0055 元大MSCI金融,,2012,9,4.6154
0056 元大高股息,,2012,9,1.1738
0057 富邦摩台,,2012,9,4.339
0061 元大寶滬深,,2012,9,6.8418
006203 元大MSCI台灣,,2012,9,4.7618
006204 永豐臺灣加權,,2012,9,4.462
006205 富邦上証,,2012,9,2.2335
006206 元大上證50,,2012,9,1.9017
006207 復華滬深,,2012,9,2.9209
006208 富邦台50,,2012,9,4.6987
0050 元大台灣50,,2012,10,-5.298
0051 元大中型100,,2012,10,-8.2278
0052 富邦科技,,2012,10,-3.9999
0053 元大電子,,2012,10,-6.7209
0055 元大MSCI金融,,2012,10,-8.3911
0056 元大高股息,,2012,10,-10.3163
0057 富邦摩台,,2012,10,-5.5022
0061 元大寶滬深,,2012,10,0.0746
006203 元大MSCI台灣,,2012,10,-5.6818
006204 永豐臺灣加權,,2012,10,-7.2451
006205 富邦上証,,2012,10,5.4069
006206 元大上證50,,2012,10,-0.2262
006207 復華滬深,,2012,10,-0.0744
006208 富邦台50,,2012,10,-5.8185
0050 元大台灣50,,2012,11,6.25
0051 元大中型100,,2012,11,4.6403
0052 富邦科技,,2012,11,5.8665
0053 元大電子,,2012,11,7.4818
0055 元大MSCI金融,,2012,11,6.9464
0056 元大高股息,,2012,11,5.7574
0057 富邦摩台,,2012,11,6.2964
0061 元大寶滬深,,2012,11,2.0091
006203 元大MSCI台灣,,2012,11,4.9771
006204 永豐臺灣加權,,2012,11,6.1906
006205 富邦上証,,2012,11,-7.6685
006206 元大上證50,,2012,11,-0.9635
006207 復華滬深,,2012,11,-0.5981
006208 富邦台50,,2012,11,7.0106
0050 元大台灣50,,2012,12,0.4668
0051 元大中型100,,2012,12,3.0001
0052 富邦科技,,2012,12,0.5983
0053 元大電子,,2012,12,0.2625
0055 元大MSCI金融,,2012,12,2.9838
0056 元大高股息,,2012,12,1.6511
0057 富邦摩台,,2012,12,-0.2548
0061 元大寶滬深,,2012,12,7.2938
006203 元大MSCI台灣,,2012,12,2.9136
006204 永豐臺灣加權,,2012,12,1.2662
006205 富邦上証,,2012,12,13.0192
006206 元大上證50,,2012,12,15.9128
006207 復華滬深,,2012,12,10.9023
006208 富邦台50,,2012,12,0.2287
0050 元大台灣50,,2013,1,1.4869
0051 元大中型100,,2013,1,2.3302
0052 富邦科技,,2013,1,2.0658
0053 元大電子,,2013,1,1.2227
0055 元大MSCI金融,,2013,1,4.1264
0056 元大高股息,,2013,1,4.302
0057 富邦摩台,,2013,1,2.2352
0061 元大寶滬深,,2013,1,0.8839
006203 元大MSCI台灣,,2013,1,1.1859
006204 永豐臺灣加權,,2013,1,1.9016
006205 富邦上証,,2013,1,11.6684
006206 元大上證50,,2013,1,11.4569
006207 復華滬深,,2013,1,10.4406
006208 富邦台50,,2013,1,1.7279
0050 元大台灣50,,2013,2,1.0988
0051 元大中型100,,2013,2,0.5694
0052 富邦科技,,2013,2,1.6867
0053 元大電子,,2013,2,0.1725
0055 元大MSCI金融,,2013,2,4.8904
0056 元大高股息,,2013,2,-0.7575
0057 富邦摩台,,2013,2,0.7807
0061 元大寶滬深,,2013,2,-1.8868
006203 元大MSCI台灣,,2013,2,1.3233
006204 永豐臺灣加權,,2013,2,0.6645
006205 富邦上証,,2013,2,-2.2232
006206 元大上證50,,2013,2,-3.323
006207 復華滬深,,2013,2,-3.9288
006208 富邦台50,,2013,2,0.705
0050 元大台灣50,,2013,3,-0.1811
0051 元大中型100,,2013,3,0.7924
0052 富邦科技,,2013,3,-0.7236
0053 元大電子,,2013,3,1.206
0055 元大MSCI金融,,2013,3,2.4116
0056 元大高股息,,2013,3,-1.6114
0057 富邦摩台,,2013,3,1.2087
0061 元大寶滬深,,2013,3,-3.9148
006203 元大MSCI台灣,,2013,3,-0.3733
006204 永豐臺灣加權,,2013,3,0.2793
006205 富邦上証,,2013,3,-3.6838
006206 元大上證50,,2013,3,-5.0871
006207 復華滬深,,2013,3,-4.0257
006208 富邦台50,,2013,3,-0.2865
0050 元大台灣50,,2013,4,2.3592
0051 元大中型100,,2013,4,2.7704
0052 富邦科技,,2013,4,6.4703
0053 元大電子,,2013,4,2.7661
0055 元大MSCI金融,,2013,4,-1.3345
0056 元大高股息,,2013,4,3.2759
0057 富邦摩台,,2013,4,2.327
0061 元大寶滬深,,2013,4,-2.7877
006203 元大MSCI台灣,,2013,4,3.3708
006204 永豐臺灣加權,,2013,4,2.2539
006205 富邦上証,,2013,4,-2.3606
006206 元大上證50,,2013,4,-2.1246
006207 復華滬深,,2013,4,-1.7309
006208 富邦台50,,2013,4,2.745
0050 元大台灣50,,2013,5,0.9751
0051 元大中型100,,2013,5,3.8617
0052 富邦科技,,2013,5,1.1697
0053 元大電子,,2013,5,2.3186
0055 元大MSCI金融,,2013,5,1.1137
0056 元大高股息,,2013,5,0.7513
0057 富邦摩台,,2013,5,1.5558
0061 元大寶滬深,,2013,5,4.4852
006203 元大MSCI台灣,,2013,5,1.4492
006204 永豐臺灣加權,,2013,5,1.6347
006205 富邦上証,,2013,5,6.1412
006206 元大上證50,,2013,5,3.0587
006207 復華滬深,,2013,5,7.5879
006208 富邦台50,,2013,5,0.9317
0050 元大台灣50,,2013,6,-3.2484
0051 元大中型100,,2013,6,-4.3495
0052 富邦科技,,2013,6,-5.7248
0053 元大電子,,2013,6,-5.099
0055 元大MSCI金融,,2013,6,-2.2029
0056 元大高股息,,2013,6,-3.0242
0057 富邦摩台,,2013,6,-0.4125
0061 元大寶滬深,,2013,6,-12.8081
006203 元大MSCI台灣,,2013,6,-6.0713
006204 永豐臺灣加權,,2013,6,-2.5585
006205 富邦上証,,2013,6,-13.6219
006206 元大上證50,,2013,6,-15.2704
006207 復華滬深,,2013,6,-16.0579
006208 富邦台50,,2013,6,-3.6934
0050 元大台灣50,,2013,7,2.7222
0051 元大中型100,,2013,7,4.107
0052 富邦科技,,2013,7,-0.9272
0053 元大電子,,2013,7,1.1088
0055 元大MSCI金融,,2013,7,7.8842
0056 元大高股息,,2013,7,3.8019
0057 富邦摩台,,2013,7,-0.0593
0061 元大寶滬深,,2013,7,-0.242
006203 元大MSCI台灣,,2013,7,5.0952
006204 永豐臺灣加權,,2013,7,3.2259
006205 富邦上証,,2013,7,-0.0527
006206 元大上證50,,2013,7,-0.7908
006207 復華滬深,,2013,7,0.6751
006208 富邦台50,,2013,7,3.4518
0050 元大台灣50,,2013,8,-1.3249
0051 元大中型100,,2013,8,0.0353
0052 富邦科技,,2013,8,-0.3022
0053 元大電子,,2013,8,-0.2533
0055 元大MSCI金融,,2013,8,-2.6846
0056 元大高股息,,2013,8,-2.675
0057 富邦摩台,,2013,8,-1.7172
0061 元大寶滬深,,2013,8,3.6407
006203 元大MSCI台灣,,2013,8,-0.9046
006204 永豐臺灣加權,,2013,8,-0.5329
006205 富邦上証,,2013,8,5.4353
006206 元大上證50,,2013,8,5.0683
006207 復華滬深,,2013,8,5.8122
006208 富邦台50,,2013,8,-1.7608
0050 元大台灣50,,2013,9,2.3276
0051 元大中型100,,2013,9,3.662
0052 富邦科技,,2013,9,1.6353
0053 元大電子,,2013,9,1.0993
0055 元大MSCI金融,,2013,9,3.6783
0056 元大高股息,,2013,9,2.2832
0057 富邦摩台,,2013,9,1.8673
0061 元大寶滬深,,2013,9,1.7175
006203 元大MSCI台灣,,2013,9,2.0444
006204 永豐臺灣加權,,2013,9,1.8265
006205 富邦上証,,2013,9,1.6515
006206 元大上證50,,2013,9,2.168
006207 復華滬深,,2013,9,3.5916
006208 富邦台50,,2013,9,2.17
0050 元大台灣50,,2013,10,3.6888
0051 元大中型100,,2013,10,2.5477
0052 富邦科技,,2013,10,3.0989
0053 元大電子,,2013,10,3.262
0055 元大MSCI金融,,2013,10,4.2867
0056 元大高股息,,2013,10,-0.2095
0057 富邦摩台,,2013,10,3.43
0061 元大寶滬深,,2013,10,-1.3812
006203 元大MSCI台灣,,2013,10,3.0411
006204 永豐臺灣加權,,2013,10,3.1356
006205 富邦上証,,2013,10,-0.4925
006206 元大上證50,,2013,10,-0.6895
006207 復華滬深,,2013,10,-2.1073
006208 富邦台50,,2013,10,2.5984
0050 元大台灣50,,2013,11,-0.6044
0051 元大中型100,,2013,11,-0.8612
0052 富邦科技,,2013,11,-1.0694
0053 元大電子,,2013,11,-0.9336
0055 元大MSCI金融,,2013,11,0.3652
0056 元大高股息,,2013,11,-2.104
0057 富邦摩台,,2013,11,-0.2573
0061 元大寶滬深,,2013,11,1.5562
006203 元大MSCI台灣,,2013,11,-0.4961
006204 永豐臺灣加權,,2013,11,-0.3554
006205 富邦上証,,2013,11,3.8598
006206 元大上證50,,2013,11,2.7778
006207 復華滬深,,2013,11,3.264
006208 富邦台50,,2013,11,-1.3455
0050 元大台灣50,,2013,12,1.9981
0051 元大中型100,,2013,12,2.0268
0052 富邦科技,,2013,12,2.0158
0053 元大電子,,2013,12,2.575
0055 元大MSCI金融,,2013,12,2.6794
0056 元大高股息,,2013,12,1.1404
0057 富邦摩台,,2013,12,2.2357
0061 元大寶滬深,,2013,12,-2.8353
006203 元大MSCI台灣,,2013,12,2.4118
006204 永豐臺灣加權,,2013,12,2.1399
006205 富邦上証,,2013,12,-2.811
006206 元大上證50,,2013,12,-5.0935
006207 復華滬深,,2013,12,-4.3711
006208 富邦台50,,2013,12,2.2933
0050 元大台灣50,,2014,1,-1.8739
0051 元大中型100,,2014,1,-0.6736
0052 富邦科技,,2014,1,-0.4582
0053 元大電子,,2014,1,-0.0002
0055 元大MSCI金融,,2014,1,-2.9619
0056 元大高股息,,2014,1,0.0435
0057 富邦摩台,,2014,1,-2.4393
0061 元大寶滬深,,2014,1,-2.9181
006203 元大MSCI台灣,,2014,1,-2.2496
006204 永豐臺灣加權,,2014,1,-1.6293
006205 富邦上証,,2014,1,-2.304
006206 元大上證50,,2014,1,-4.4358
006207 復華滬深,,2014,1,-1.8285
006208 富邦台50,,2014,1,-1.545
0050 元大台灣50,,2014,2,1.2153
0051 元大中型100,,2014,2,1.661
0052 富邦科技,,2014,2,2.9343
0053 元大電子,,2014,2,3.4567
0055 元大MSCI金融,,2014,2,-0.9447
0056 元大高股息,,2014,2,0.3901
0057 富邦摩台,,2014,2,1.8391
0061 元大寶滬深,,2014,2,-2.5183
006203 元大MSCI台灣,,2014,2,1.654
006204 永豐臺灣加權,,2014,2,1.5145
006205 富邦上証,,2014,2,-1.6056
006206 元大上證50,,2014,2,-2.235
006207 復華滬深,,2014,2,-3.6535
006208 富邦台50,,2014,2,2.677
0050 元大台灣50,,2014,3,3.0875
0051 元大中型100,,2014,3,-0.3
0052 富邦科技,,2014,3,5.0307
0053 元大電子,,2014,3,3.4605
0055 元大MSCI金融,,2014,3,-1.9075
0056 元大高股息,,2014,3,2.1156
0057 富邦摩台,,2014,3,2.2008
0061 元大寶滬深,,2014,3,-2.4166
006203 元大MSCI台灣,,2014,3,2.8655
006204 永豐臺灣加權,,2014,3,2.0046
006205 富邦上証,,2014,3,-5.2015
006206 元大上證50,,2014,3,0.5861
006207 復華滬深,,2014,3,-0.8179
006208 富邦台50,,2014,3,2.9366
0050 元大台灣50,,2014,4,1.4975
0051 元大中型100,,2014,4,-0.1672
0052 富邦科技,,2014,4,2.1822
0053 元大電子,,2014,4,2.7683
0055 元大MSCI金融,,2014,4,-2.7673
0056 元大高股息,,2014,4,0.6765
0057 富邦摩台,,2014,4,2.0983
0061 元大寶滬深,,2014,4,-2.3057
006203 元大MSCI台灣,,2014,4,2.0634
006204 永豐臺灣加權,,2014,4,-0.4799
006205 富邦上証,,2014,4,-3.8193
006206 元大上證50,,2014,4,-0.5828
006207 復華滬深,,2014,4,-2.324
006208 富邦台50,,2014,4,1.1933
0050 元大台灣50,,2014,5,3.4426
0051 元大中型100,,2014,5,1.8426
0052 富邦科技,,2014,5,7.216
0053 元大電子,,2014,5,5.4995
0055 元大MSCI金融,,2014,5,5.6155
0056 元大高股息,,2014,5,4.4938
0057 富邦摩台,,2014,5,2.9744
0061 元大寶滬深,,2014,5,-0.3495
006203 元大MSCI台灣,,2014,5,2.8303
006204 永豐臺灣加權,,2014,5,3.0997
006205 富邦上証,,2014,5,0.5592
006206 元大上證50,,2014,5,0.176
006207 復華滬深,,2014,5,1.458
006208 富邦台50,,2014,5,2.9918
0050 元大台灣50,,2014,6,4.5167
0051 元大中型100,,2014,6,1.5789
0052 富邦科技,,2014,6,3.7077
0053 元大電子,,2014,6,3.9006
0055 元大MSCI金融,,2014,6,2.7674
0056 元大高股息,,2014,6,1.1655
0057 富邦摩台,,2014,6,3.4402
0061 元大寶滬深,,2014,6,0.9648
006203 元大MSCI台灣,,2014,6,3.9975
006204 永豐臺灣加權,,2014,6,3.6749
006205 富邦上証,,2014,6,1.446
006206 元大上證50,,2014,6,0.8776
006207 復華滬深,,2014,6,0.605
006208 富邦台50,,2014,6,4.609
0050 元大台灣50,,2014,7,1.213
0051 元大中型100,,2014,7,1.5221
0052 富邦科技,,2014,7,-2.4252
0053 元大電子,,2014,7,-1.1947
0055 元大MSCI金融,,2014,7,7.9379
0056 元大高股息,,2014,7,1.1125
0057 富邦摩台,,2014,7,1.4978
0061 元大寶滬深,,2014,7,11.2943
006203 元大MSCI台灣,,2014,7,0.8193
006204 永豐臺灣加權,,2014,7,0.8594
006205 富邦上証,,2014,7,9.7039
006206 元大上證50,,2014,7,9.3969
006207 復華滬深,,2014,7,8.797
006208 富邦台50,,2014,7,0.8545
0050 元大台灣50,,2014,8,3.6703
0051 元大中型100,,2014,8,1.18
0052 富邦科技,,2014,8,2.7672
0053 元大電子,,2014,8,4.2142
0055 元大MSCI金融,,2014,8,2.4951
0056 元大高股息,,2014,8,4.2043
0057 富邦摩台,,2014,8,3.6519
0061 元大寶滬深,,2014,8,2.3419
006203 元大MSCI台灣,,2014,8,3.75
006204 永豐臺灣加權,,2014,8,2.5774
006205 富邦上証,,2014,8,-0.3997
006206 元大上證50,,2014,8,-2.2798
006207 復華滬深,,2014,8,0.0694
006208 富邦台50,,2014,8,3.8124
0050 元大台灣50,,2014,9,-5.6358
0051 元大中型100,,2014,9,-6.0528
0052 富邦科技,,2014,9,-5.8839
0053 元大電子,,2014,9,-6.1983
0055 元大MSCI金融,,2014,9,-4.4201
0056 元大高股息,,2014,9,-7.3153
0057 富邦摩台,,2014,9,-5.3813
0061 元大寶滬深,,2014,9,4.3478
006203 元大MSCI台灣,,2014,9,-5.9035
006204 永豐臺灣加權,,2014,9,-5.5024
006205 富邦上証,,2014,9,5.6699
006206 元大上證50,,2014,9,3.527
006207 復華滬深,,2014,9,5.6627
