契約,到期月份,履約價,買賣權,結算價,到期時間（年）
TXO,202409,19600,Call,107,0.75
TXO,202409,19800,Call,86,0.75
TXO,202409,20000,Call,71,0.75
TXO,202409,20200,Call,60,0.75
TXO,202409,20400,Call,51,0.75
TXO,202409,20600,Call,43,0.75
TXO,202409,20800,Call,36,0.75
TXO,202409,21000,Call,30.5,0.75
TXO,202409,21200,Call,26,0.75
TXO,202409,21400,Call,22,0.75
TXO,202409,21600,Call,18.5,0.75
